160 12720
0 1 90
0 2 83
0 3 34
0 4 59
0 5 89
0 6 9
0 7 16
0 8 65
0 9 61
0 10 1
0 11 86
0 12 90
0 13 92
0 14 87
0 15 85
0 16 11
0 17 74
0 18 79
0 19 25
0 20 6
0 21 100
0 22 36
0 23 47
0 24 59
0 25 55
0 26 69
0 27 48
0 28 44
0 29 76
0 30 10
0 31 6
0 32 77
0 33 48
0 34 42
0 35 13
0 36 16
0 37 6
0 38 75
0 39 39
0 40 85
0 41 49
0 42 49
0 43 2
0 44 49
0 45 13
0 46 1
0 47 13
0 48 62
0 49 77
0 50 86
0 51 78
0 52 38
0 53 20
0 54 5
0 55 63
0 56 46
0 57 39
0 58 65
0 59 27
0 60 24
0 61 11
0 62 80
0 63 81
0 64 11
0 65 49
0 66 28
0 67 26
0 68 85
0 69 84
0 70 5
0 71 8
0 72 60
0 73 15
0 74 92
0 75 44
0 76 94
0 77 60
0 78 37
0 79 39
0 80 28
0 81 92
0 82 2
0 83 2
0 84 58
0 85 100
0 86 100
0 87 57
0 88 27
0 89 98
0 90 67
0 91 21
0 92 91
0 93 28
0 94 43
0 95 40
0 96 85
0 97 12
0 98 84
0 99 5
0 100 61
0 101 96
0 102 41
0 103 93
0 104 8
0 105 7
0 106 83
0 107 75
0 108 26
0 109 24
0 110 34
0 111 20
0 112 37
0 113 42
0 114 51
0 115 64
0 116 62
0 117 37
0 118 7
0 119 61
0 120 28
0 121 100
0 122 46
0 123 14
0 124 19
0 125 56
0 126 52
0 127 49
0 128 79
0 129 91
0 130 8
0 131 53
0 132 1
0 133 20
0 134 69
0 135 4
0 136 3
0 137 94
0 138 46
0 139 81
0 140 43
0 141 15
0 142 61
0 143 92
0 144 40
0 145 83
0 146 62
0 147 58
0 148 88
0 149 61
0 150 80
0 151 53
0 152 70
0 153 51
0 154 67
0 155 24
0 156 76
0 157 66
0 158 35
0 159 61
1 2 38
1 3 53
1 4 50
1 5 34
1 6 92
1 7 72
1 8 53
1 9 38
1 10 87
1 11 5
1 12 57
1 13 5
1 14 90
1 15 6
1 16 58
1 17 19
1 18 73
1 19 100
1 20 3
1 21 95
1 22 48
1 23 36
1 24 95
1 25 84
1 26 4
1 27 61
1 28 24
1 29 13
1 30 93
1 31 86
1 32 95
1 33 45
1 34 33
1 35 3
1 36 15
1 37 47
1 38 84
1 39 93
1 40 31
1 41 85
1 42 71
1 43 33
1 44 59
1 45 94
1 46 50
1 47 83
1 48 34
1 49 14
1 50 95
1 51 81
1 52 84
1 53 87
1 54 7
1 55 90
1 56 68
1 57 91
1 58 88
1 59 80
1 60 69
1 61 25
1 62 90
1 63 58
1 64 42
1 65 53
1 66 35
1 67 31
1 68 41
1 69 39
1 70 46
1 71 11
1 72 98
1 73 10
1 74 65
1 75 98
1 76 86
1 77 24
1 78 70
1 79 91
1 80 21
1 81 55
1 82 19
1 83 49
1 84 3
1 85 43
1 86 49
1 87 32
1 88 4
1 89 32
1 90 10
1 91 86
1 92 95
1 93 41
1 94 98
1 95 14
1 96 13
1 97 41
1 98 10
1 99 16
1 100 14
1 101 93
1 102 54
1 103 51
1 104 27
1 105 88
1 106 48
1 107 35
1 108 71
1 109 18
1 110 4
1 111 75
1 112 31
1 113 46
1 114 15
1 115 49
1 116 62
1 117 61
1 118 3
1 119 47
1 120 92
1 121 41
1 122 36
1 123 82
1 124 98
1 125 67
1 126 5
1 127 45
1 128 57
1 129 48
1 130 39
1 131 51
1 132 32
1 133 20
1 134 54
1 135 33
1 136 7
1 137 40
1 138 4
1 139 67
1 140 50
1 141 9
1 142 69
1 143 4
1 144 3
1 145 49
1 146 91
1 147 2
1 148 72
1 149 76
1 150 72
1 151 22
1 152 6
1 153 81
1 154 96
1 155 91
1 156 83
1 157 78
